歌曲名,目标难度,预测难度,差值,差值绝对值,键型,子键型
Grinding Of The Teeth x1.35,18,17.6,-0.3999999999999986,0.3999999999999986,tech,stream tech
The Fate of x1.425,18,18,0,0,stamina,light jumpstream
Agoniya (Opium Remix)(theta) x1.1,18,17.6,-0.3999999999999986,0.3999999999999986,speed,high stream
Rip Me Apart(theta) x1.075,17.8,18.4,0.5999999999999979,0.5999999999999979,jack,dense chordjack
Exitium(eta),17.2,17.4,0.1999999999999993,0.1999999999999993,tech,stream tech
Intersect Thunderbolt-Remix,17.2,17,-0.1999999999999993,0.1999999999999993,speed,mid stream
Torment Payback,17.2,17.4,0.1999999999999993,0.1999999999999993,jack,high chordjack
Collapse of Ego,16.8,16.6,-0.1999999999999993,0.1999999999999993,stamina,dense jumpstream
Angel Dust (2016 Radio Mix)(zeta),16.6,15.6,-1.0000000000000018,1.0000000000000018,jack,anchor chordjack
northern limit(haku) x1.1,16.4,16.6,0.20000000000000284,0.20000000000000284,tech,stream tech
Purgatorium(efv2) x1.14,16.4,16.6,0.20000000000000284,0.20000000000000284,tech,stream tech
Angel Dust(spz),16.4,16.6,0.20000000000000284,0.20000000000000284,stamina,light handstream
Angel Dust (2016 Radio Mix)(zeta old),16.4,17,0.6000000000000014,0.6000000000000014,jack,high chordjack
Nijuu(zeta),16.2,16,-0.1999999999999993,0.1999999999999993,stamina,dense handstream
Kizuato(efv3) x1.3,16.2,16.4,0.1999999999999993,0.1999999999999993,speed,staircase
Apocalyptic Premonition x1.05,16,16,0,0,tech,stream tech
NEURO-CLOUD-9(efv3),16,16.8,0.8000000000000007,0.8000000000000007,tech,stream tech
Senkou no Furea(haku) x1.25,16,15.4,-0.5999999999999996,0.5999999999999996,stamina,dense handstream
HIBACHI,16,15.6,-0.40000000000000036,0.40000000000000036,speed,high stream
Credens Justitiam(haku) x1.1,16,15.6,-0.40000000000000036,0.40000000000000036,speed,mid stream
Double Universe x1.2,16,14.4,-1.5999999999999996,1.5999999999999996,jack,mid chordjack
Infinity Heaven(180bpm),16,14.4,-1.5999999999999996,1.5999999999999996,jack,high chordjack
Runengon(efv3),15.7,16,0.3000000000000007,0.3000000000000007,stamina,dense handstream
Weird Autumn(spz) x1.4,15.6,15.6,0,0,tech,stream tech
Vertex Beta(spz cut),15.6,14.6,-1,1,jack,mid chordjack
Deadly force - Put an end,15.4,15.4,0,0,stamina,dense handstream
Finixe(zeta) x1.1,15.4,16.4,0.9999999999999982,0.9999999999999982,speed,low stream
Forgotten[Collab(2015)] x1.4,15.2,15.4,0.20000000000000107,0.20000000000000107,tech,jack tech
Matusa Bomber x1.3,15,13.4,-1.5999999999999996,1.5999999999999996,tech,stream tech
Hitsugi to Futago x1.25,15,15,0,0,stamina,dense jumpstream
Ash Statues(wafles)[Inhuman],15,15,0,0,stamina,dense jumpstream
Mario Point[D-Another],15,15.4,0.40000000000000036,0.40000000000000036,speed,low stream
Shuuten,15,15.4,0.40000000000000036,0.40000000000000036,speed,high stream
crazy_tek (DJ Noriken Remix)(e9v3),15,15,0,0,jack,high chordjack
Rose Quartz(epsilon) x1.3,15,14.6,-0.40000000000000036,0.40000000000000036,jack,high chordjack
Nhelv(e9v3),14.8,15.4,0.5999999999999996,0.5999999999999996,tech,stream tech
Kimi to bokueno sousouka,14.8,15.4,0.5999999999999996,0.5999999999999996,speed,
Shuu no hazama,14.7,15,0.3000000000000007,0.3000000000000007,tech,stream tech
Paradigm Shift(e8v2) x1.15,14.7,14.6,-0.09999999999999964,0.09999999999999964,speed,low stream
Ash Statues(rachel),14.6,14.6,0,0,stamina,dense jumpstream
CRIMSON FIGHTER x1.15,14.6,14.6,0,0,stamina,dense handstream
Amatsukami x1.15,14.6,14.6,0,0,speed,high stream
Lalala.Refrain(sp7v2) x1.1,14.6,15,0.40000000000000036,0.40000000000000036,speed,mid stream
Tactical Railroad(ATTang),14.6,13.6,-1,1,speed,high stream
Hayabusa(e8v3),14.6,14.6,0,0,jack,high chordjack
Search And Destroy(Ena) x1.25,14.6,14.6,0,0,stamina,dense handstream
