,区间,jack,tech,speed,stamina,所有键型,
标准差,数字段(<=10.5),0.376202062437501,0.31138774555931287,0.2536837679816433,0.12246615865748295,0.7635551164576625,
,字母段(>10.5),0.5996046128071436,0.5485785828288064,0.5228356748129785,0.32594997506271783,0.5058647825806548,
,总,0.890925305039465,0.7732963194817623,0.5946295600838308,0.40339316539071496,0.6898024814794997,
中位数绝对误差,数字段,0,0,0,0,0.04999999999999982,
,字母段,0.40000000000000036,0.20000000000000195,0.40000000000000036,0.04999999999999982,0.20000000000000195,
,总,0,0,0,0,0.1999999999999993,
平均带符号误差,数字段,-0.8666666666666666,-0.75,-0.5533333333333332,0.3272727272727271,-0.48200000000000004,
,字母段,-0.2956521739130436,-0.04230769230769202,-0.14166666666666672,-0.15714285714285703,-0.15398230088495574,
,总,-0.4914285714285715,-0.26578947368421035,-0.2627450980392157,-0.020512820512820468,-0.2546012269938651,
平均绝对误差,数字段,0.08587570621468926,0.06551724137931032,0.05426829268292681,0.023255813953488365,0.45930232558139544,
,字母段,0.45217391304347826,0.3576923076923078,0.41388888888888875,0.20000000000000012,0.35350877192982455,
,总,0.128,0.10350000000000001,0.11899999999999995,0.048000000000000015,0.4005025125628141,
最大值,数字段,1,1,0.20000000000000018,0,1,
,字母段,0.6000000000000014,0.8000000000000007,0.9999999999999982,0,1,
,总,1,1,0.9999999999999982,1,1,
最小值,数字段,-2.8,-2.8,-2,0,-2.8,
,字母段,-1.5999999999999996,-1.5999999999999996,-1.4000000000000004,0,-1.5999999999999996,
,总,-2.8,-2.8,-2,1.4,-2.8,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
