Grinding Of The Teeth x1.35,18,17.6,-0.3999999999999986,0.3999999999999986,tech,stream tech
Exitium(eta),17.2,17.4,0.1999999999999993,0.1999999999999993,tech,stream tech
northern limit(haku) x1.1,16.4,16.6,0.20000000000000284,0.20000000000000284,tech,stream tech
Purgatorium(efv2) x1.14,16.4,16.6,0.20000000000000284,0.20000000000000284,tech,stream tech
Apocalyptic Premonition x1.05,16,16,0,0,tech,stream tech
NEURO-CLOUD-9(efv3),16,16.8,0.8000000000000007,0.8000000000000007,tech,stream tech
Weird Autumn(spz) x1.4,15.6,15.6,0,0,tech,stream tech
Forgotten[Collab(2015)] x1.4,15.2,15.4,0.20000000000000107,0.20000000000000107,tech,jack tech
Matusa Bomber x1.3,15,13.4,-1.5999999999999996,1.5999999999999996,tech,stream tech
Nhelv(e9v3),14.8,15.4,0.5999999999999996,0.5999999999999996,tech,stream tech
Shuu no hazama,14.7,15,0.3000000000000007,0.3000000000000007,tech,stream tech
Alpha,14.4,14.4,0,0,tech,stream tech
Ankoku Butoukai,14.4,14,-0.40000000000000036,0.40000000000000036,tech,mix tech
Kaguyahime(mintapril) x1.2,14.4,14,-0.40000000000000036,0.40000000000000036,tech,mix tech
Crescent Moon Boss Battle x1.05,14,14,0,0,tech,stream tech
Nhelv(Guilhermeziat),13.6,13.4,-0.1999999999999993,0.1999999999999993,tech,jack tech
Shadows of Cats(tachyon) x1.2,13.6,12.8,-0.7999999999999989,0.7999999999999989,tech,stream tech
Extraction,13.4,13.4,0,0,tech,
Tornado [Devastation](interliser),13.4,12,-1.4000000000000004,1.4000000000000004,tech,mix tech
Unsan-musho,12.8,13,0.1999999999999993,0.1999999999999993,tech,stream tech
Fastest Crash (gamma),12.6,12.6,0,0,tech,stream tech
Asymmetrical Grooves,12,12,0,0,tech,
Blue Planet,12,12.4,0.40000000000000036,0.40000000000000036,tech,stream tech
INTERNET OVERDOSE x1.05,11.4,12,0.5999999999999996,0.5999999999999996,tech,stream tech
Odoru Mizushibuki x1.1,10.8,11,0.1999999999999993,0.1999999999999993,tech,jack tech
Towards the Horizon,10.8,11,0.1999999999999993,0.1999999999999993,tech,
Tailin no Soul x1.2,10,9,-1,1,tech,stream tech
Rave 7 [Hard] x1.1,10,11,1,1,tech,stream tech
Cicadidae,9,9.2,0.1999999999999993,0.1999999999999993,tech,stream tech
RATO,8,7.4,-0.5999999999999996,0.5999999999999996,tech,stream tech
WAVE,7,6.6,-0.40000000000000036,0.40000000000000036,tech,mix tech
The Bird's Midair Heatstroke,6,4,-2,2,tech,
Brainfog,5,4.2,-0.7999999999999998,0.7999999999999998,tech,
Ephemera,4,3.8,-0.20000000000000018,0.20000000000000018,tech,
Shannon's Theorem,4,3.4,-0.6000000000000001,0.6000000000000001,tech,stream tech
Kirlian Shores,3,0.2,-2.8,2.8,tech,
Vermillion,2,0.8,-1.2,1.2,tech,
Want U 2,1,0.4,-0.6,0.6,tech,
