,类型,数量,占比,,,,,,,,,,,,,
jack,exact,11,31.43%,,,,,,,,,,,,,
,adjacent,4,11.43%,,,,,,,,,,,,,
,within,9,25.71%,,,,,,,,,,,,,
,miss,9,25.71%,,,,,,,,,,,,,
,总数,35,21.47%,,,,,,,,,,,,,
tech,exact,14,36.84%,,,,,,,,,,,,,
,adjacent,9,23.68%,,,,,,,,,,,,,
,within,10,26.32%,,,,,,,,,,,,,
,miss,5,13.16%,,,,,,,,,,,,,
,总数,38,23.31%,,,,,,,,,,,,,
speed,exact,21,41.18%,,,,,,,,,,,,,
,adjacent,13,25.49%,,,,,,,,,,,,,
,within,12,23.53%,,,,,,,,,,,,,
,miss,5,9.80%,,,,,,,,,,,,,
,总数,51,31.29%,,,,,,,,,,,,,
stamina,exact,24,61.54%,,,,,,,,,,,,,
,adjacent,9,23.08%,,,,,,,,,,,,,
,within,5,12.82%,,,,,,,,,,,,,
,miss,1,2.56%,,,,,,,,,,,,,
,总数,39,23.93%,,,,,,,,,,,,,
所有键型,exact,70,42.94%,,,,,,,,,,,,,
,adjacent,35,21.47%,,,,,,,,,,,,,
,within,36,22.09%,,,,,,,,,,,,,
,miss,20,12.27%,,,,,,,,,,,,,
,总数,163,Null,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
